Orbital_Period_days,Orbital_Period_days_weight,Transit_Epoch_BKJD,Transit_Epoch_BKJD_weight,Transit_Epoch_BJD,Transit_Epoch_BJD_weight,Impact_Parameter,Impact_Parameter_weight,Transit_Duration_hrs,Transit_Duration_hrs_weight,Transit_Depth_ppm,Transit_Depth_ppm_weight,Planet-Star_Radius_Ratio,Planet-Star_Radius_Ratio_weight,Fitted_Stellar_Density_g/cm**3,Fitted_Stellar_Density_g/cm**3_weight,Planetary_Radius_Earth_radii,Planetary_Radius_Earth_radii_weight,Orbit_Semi-Major_Axis_au,Inclination_deg,Equilibrium_Temperature_K,Insolation_Flux_Earth_flux,Insolation_Flux_Earth_flux_weight,Planet-Star_Distance_over_Star_Radius,Planet-Star_Distance_over_Star_Radius_weight,Stellar_Effective_Temperature_K,Stellar_Surface_Gravity_log10(cm/s**2),Stellar_Metallicity_dex,Stellar_Radius_Solar_radii,Stellar_Mass_Solar_mass,Comment_Encoded,Planetary_Fit_Type_Encoded,Parameters_Provenance_Encoded,TCE_Delivery_Encoded,Quarters_Encoded,Stellar_Parameter_Provenance_Encoded,Exoplanet_Archive_Disposition_Encoded,Log_Orbital_Period,Log_Transit_Depth
8.10904807,56371.93379049703,132.8031,9188.743531060163,2454965.803,994200.7523055468,0.025,0.05555777469111128,3.596,9.08072814568815,217.4,6.470196261289474,0.013127,9.561452641842473,1.5302,1.7601434464741166,1.3,6.19044263056376,0.0743,89.92,800.0,97.03,2.3107829670094406,17.46,3.2333230641066795,5185.0,4.44,0.16,0.91,0.831,756,1,2,2,211,1,1,2.2092682129471237,5.38632824387075
21.67699193,133910.27679500892,171.53594,32173.831874764815,2455004.536,997902.579309436,0.896,1.3313518679158916,3.4555,26.336966406907344,857.2,15.815248047405127,0.032666,5.667386339953232,0.60007,0.12317636896105483,2.95,8.428503245448566,0.1408,87.91,530.0,18.64,2.8328188748105383,24.6,1.0603437463596028,4954.0,4.5,0.18,0.828,0.791,756,1,2,2,211,1,1,3.121350839110908,6.7548371725574246
4.99677968,152448.7938209556,171.74208,37731.06602786002,2455004.742,998219.0667750357,0.71,1.317254294523439,2.1717,14.249803501886387,934.7,11.771901735559648,0.030014,4.264081831735164,1.71827,0.4203637060806722,2.78,3.706654260663265,0.0559,86.9,917.0,166.95,1.1577656568032069,13.14,1.288233732608575,5339.0,4.552,0.18,0.847,0.931,756,1,2,2,133,1,1,1.7912226051423177,6.841294912281867
4.280963604,258466.08420367786,171.89659,69540.36492702134,2455004.897,999064.0152132497,0.424,0.9059842219268888,2.875,34.225030988115286,750.8,26.623404686089895,0.025377,23.584945595957873,1.24482,2.041120991637113,2.3,2.9870053634865936,0.0503,87.72,1012.0,247.87,1.0094060547260149,10.64,1.3641008315340752,5644.0,4.564,-0.14,0.831,0.928,756,1,2,2,211,1,1,1.6641085818245085,6.622470331130078
1.50635409,615754.882092771,170.998064,257916.38622655705,2455003.998,999799.6331493106,0.86,5.149680067484984,1.5155,15.688170026528327,2211.7,60.42531033718761,0.049899,8.02502405135089,0.84722,0.6611574970372589,4.53,3.124128860478027,0.025,79.38,1452.0,1054.12,1.0590327968296367,4.67,1.2972208172159683,5714.0,4.563,-0.2,0.831,0.926,48,1,2,2,211,1,2,0.9188291433798818,7.701968768276886
61.2563628,164113.38088484053,173.83826,39927.58815989467,2455006.838,998300.2511499298,1.248,0.17882229213778486,7.633,36.34630270778612,5123.3,36.282677860881584,0.334628,0.048640613156370124,0.12411,0.10509686257860254,39.87,2.18226130231197,0.3137,87.54,505.0,15.43,0.7578580209356571,29.1,1.01041568044801,6144.0,4.402,0.0,1.091,1.093,84,1,2,2,167,1,2,4.131260743775976,8.541749209312124
38.3775486,106967.53362295663,172.82048,24927.87480559025,2455005.82,997254.0036322394,0.468,0.64285810321671,5.588,24.725056798043752,724.2,15.474119543645536,0.024901,17.114483721736335,1.40588,1.7147370216175555,2.82,3.9718166189762862,0.2163,89.44,529.0,18.53,1.5905554958802637,47.8,1.0622211161295463,5481.0,4.369,0.16,1.036,0.915,28,1,2,2,211,1,1,3.6731958214003435,6.586447478880696
41.19725502,180612.67697314054,165.00404,46026.17991860724,2454998.004,998608.8614733403,0.045,0.11780365104376415,4.6297,36.56818088670127,2213.9,24.32797957457138,0.041693,23.253223915271654,3.9471,3.5959102149838698,3.86,8.041604082083753,0.217,89.96,439.0,8.76,2.7633996191219476,70.75,16.844954576058786,5031.0,4.485,0.16,0.848,0.801,756,1,2,2,203,1,1,3.742355172006892,7.70296253473323
6.252962249,246112.18537682237,171.30126,68212.1510709503,2455004.301,999047.7524866797,0.105,0.24193772948455405,2.5819,30.303084042687882,1036.9,21.160776722257054,0.028604,18.930813027196134,3.28707,2.5507601814832306,2.65,8.030241575308471,0.0617,89.68,823.0,108.3,2.764863455840821,18.94,11.246904978389825,5031.0,4.485,0.16,0.848,0.801,756,1,2,2,203,1,1,1.9814099714869908,6.944954719971244
16.01308419,141592.08021513876,176.3608,35017.50727727499,2455009.361,998024.2853230132,0.799,1.2330247142160808,3.2554,20.577332569728032,1121.9,14.237106959260005,0.034369,4.560754146348193,1.10942,0.33366435380448456,3.1,4.769209562223981,0.1148,88.14,593.0,29.31,1.4647655206257435,24.7,1.0466091164726177,5015.0,4.499,0.1,0.826,0.785,756,1,2,2,180,1,1,2.833982706256498,7.023669903578493
